,simu1,simu2,simu3,simu4,simu5,simu6,simu7,simu8,simu9,simu10,simu11,simu12,simu13,simu14,simu15,simu16,simu17,simu18,simu19,simu20,simu21,simu22,simu23,simu24,simu25,simu26,simu27,simu28,simu29,simu30
SIEVE,0.005,0,0.005,0.01,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.015,0,0.005,0.005,0.005,0.005,0.005,0.015,0.005,0.005,0.005,0.01,0.005,0,0,0.005,0,0
edgeR,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0
DESeq2,0,0,0.005,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0.005,0,0.005,0,0.005,0.005,0,0,0.005,0,0,0,0,0,0
voom,0.005,0,0.005,0.005,0.005,0.005,0,0.005,0,0,0,0.005,0.005,0,0,0.005,0.005,0.005,0,0.01,0.005,0,0,0.005,0.005,0,0,0,0,0
tweeDEseq,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0.005,0,0.005,0.005,0.005,0,0,0.01,0.005,0,0,0.005,0,0,0,0,0,0
ALDEx2,0.005,0.005,0.015,0.015,0.01,0.025,0.005,0.005,0.01,0.01,0.005,0.005,0.015,0.005,0.02,0.005,0.01,0.015,0.015,0.02,0.01,0.005,0.025,0.025,0.025,0,0,0.01,0.005,0.005
NOISeq,0.04,0.075,0.05,0.08,0.06,0.1,0.06,0.035,0.045,0.045,0.045,0.075,0.03,0.055,0.05,0.04,0.035,0.03,0.045,0.035,0.02,0.035,0.08,0.07,0.055,0.05,0.03,0.05,0.03,0.03
DSS,0,0,0,0,0,0,0,0,0,0,0,0.005,0.005,0,0,0.005,0,0,0,0,0.005,0,0,0.005,0,0,0,0,0,0
dearseq,0,0,0,0,0.005,0,0,0,0,0,0,0.005,0.005,0,0,0.005,0,0,0,0.01,0.005,0,0,0.005,0,0,0,0,0,0
Wilcoxon,0,0,0.005,0,0.005,0,0,0,0,0,0,0.005,0.005,0,0.01,0.005,0,0.005,0,0.01,0.005,0,0,0.01,0,0,0,0,0,0
